,0
2022-04-26,0.34500587266052096
2022-04-27,0.33967765441670167
2022-04-28,0.33967765441670167
2022-04-29,0.33967765441670167
2022-04-30,0.33967765441670167
2022-05-01,0.33967765441670167
2022-05-02,0.33967765441670167
2022-05-03,0.33967765441670167
2022-05-04,0.33967765441670167
2022-05-05,0.33967765441670167
2022-05-06,0.33967765441670167
2022-05-07,0.35819617293522016
2022-05-08,0.35819617293522016
2022-05-09,0.35819617293522016
2022-05-10,0.3515295062685535
2022-05-11,0.3515295062685535
2022-05-12,0.3515295062685535
2022-05-13,0.3515295062685535
2022-05-14,0.3515295062685535
2022-05-15,0.3515295062685535
2022-05-16,0.3515295062685535
2022-05-17,0.3515295062685535
2022-05-18,0.351834384317334
2022-05-19,0.351834384317334
2022-05-20,0.351834384317334
